ACID|FIXEDTERM_MNTHS|FIXEDTERM_YEARS|REPRICING_PLAN|RATE_FIXING_METHOD|ENTITY_CRE_FLG|DEL_FLG|LCHG_USER_ID|LCHG_TIME|RCRE_USER_ID|RCRE_TIME|TS_CNT|FLOAT_INT_TBL_CODE|FLOAT_REPRICING_FREQ_MNTHS|FLOAT_REPRICING_FREQ_DAYS|RULE_CODE|BANK_ID
013098284|0|0|F||Y|N|03814|2015-03-31 17:55:50.0|C1893|2015-03-31 17:51:16.0|1||0|0||01
013098339|0|0|F||Y|N|03629|2015-03-31 18:19:35.0|C1777|2015-03-31 18:14:05.0|1||0|0||01
013098643|0|0|F||Y|N|05324|2015-03-31 20:49:46.0|C1697|2015-03-31 20:44:41.0|1||0|0||01
013102323|0|0|F||Y|N|CDCI|2015-04-07 15:33:08.0|CDCI|2015-04-07 15:33:08.0|1||0|0||01
013102520|0|0|V||Y|N|CDCI|2015-04-07 18:03:41.0|CDCI|2015-04-07 18:03:40.0|1||0|0||01
013104336|0|0|F||Y|N|CDCI|2015-04-09 18:25:23.0|CDCI|2015-04-09 18:25:21.0|1||0|0||01
013104338|0|0|F||Y|N|CDCI|2015-04-09 18:25:24.0|CDCI|2015-04-09 18:25:24.0|1||0|0||01
013106640|0|0|F||Y|N|00964|2015-04-13 14:39:25.0|C1385|2015-04-13 12:53:22.0|1||0|0||01
013102142|0|0|F||Y|N|04353|2015-04-07 15:04:50.0|C1746|2015-04-07 13:01:35.0|1||0|0||01
013102178|0|0|F||Y|N|04353|2015-04-07 15:11:06.0|C1746|2015-04-07 13:26:22.0|1||0|0||01
013102995|0|0|F||Y|N|03712|2015-04-08 16:48:23.0|C1746|2015-04-08 13:01:35.0|2||0|0||01
013103865|0|0|V||Y|N|03712|2015-04-09 13:58:49.0|C0644|2015-04-09 11:57:41.0|1||0|0||01
013104379|0|0|F||Y|N|CDCI|2015-04-09 18:43:15.0|CDCI|2015-04-09 18:43:14.0|1||0|0||01
013107647|0|0|F||Y|N|05443|2015-04-15 11:27:43.0|C1861|2015-04-15 11:02:45.0|1||0|0||01
013109935|0|0|F||Y|N|05615|2015-04-16 10:32:12.0|C1616|2015-04-16 10:21:50.0|1||0|0||01
013110093|0|0|F||Y|N|05615|2015-04-16 14:57:04.0|C1617|2015-04-16 13:09:46.0|1||0|0||01
013114073|0|0|F||Y|N|05615|2015-04-21 18:35:35.0|C1774|2015-04-21 18:26:33.0|1||0|0||01
013106715|0|0|C||Y|N|00955|2015-04-13 16:20:57.0|C0305|2015-04-13 14:49:30.0|1||0|0||01
013111279|0|0|F||Y|N|04584|2015-04-17 18:29:29.0|C1616|2015-04-17 17:48:19.0|1||0|0||01
013107750|0|0|F||Y|N|05615|2015-04-15 13:05:37.0|C1782|2015-04-15 12:36:57.0|1||0|0||01
013107961|0|0|F||Y|N|05324|2015-04-15 15:49:23.0|C1893|2015-04-15 15:44:58.0|1||0|0||01
013110450|0|0|F||Y|N|CDCI|2015-04-16 17:46:20.0|CDCI|2015-04-16 17:46:20.0|1||0|0||01
013110462|0|0|F||Y|N|CDCI|2015-04-16 17:46:31.0|CDCI|2015-04-16 17:46:30.0|1||0|0||01
013114606|0|0|C||Y|N|00956|2015-04-22 13:00:04.0|C0305|2015-04-22 12:56:01.0|1||0|0||01
013117191|0|0|F||Y|N|05489|2015-04-25 11:41:09.0|C1697|2015-04-25 11:17:55.0|1||0|0||01
013118159|0|0|F||Y|N|05615|2015-04-27 13:06:07.0|C1782|2015-04-27 12:06:11.0|2||0|0||01
